# MultiMapR interface dictionary.  Format:  key|es|en   (UTF-8, one entry per line)
# Spanish is the source text. Entries used with arguments are sprintf() formats:
# keep the %d / %s / %.2f placeholders in the same order and write a literal % as %%.

# ---- Shell ------------------------------------------------------------------
tab_data|1 · Datos|1 · Data
tab_map|2 · Mapear caracteres|2 · Map characters
tab_help|Ayuda|Help
theme_light|Claro|Light
theme_dark|Oscuro|Dark

# ---- 1 · Data ---------------------------------------------------------------
data_input|Entrada de datos|Data input
badge_preloaded|precargado desde R|preloaded from R
badge_example|datos de ejemplo|example data
badge_local|archivos locales|local files
obj_phylo|objeto phylo|phylo object
obj_df|data.frame|data.frame
tree_file|Archivo del árbol|Tree file
tree_file_help|Newick (.tre .tree .nwk) · NEXUS (.nex .nexus) · TNT|Newick (.tre .tree .nwk) · NEXUS (.nex .nexus) · TNT
matrix_file|Matriz de caracteres|Character matrix
matrix_file_help|CSV · TNT (xread) · NEXUS|CSV · TNT (xread) · NEXUS
browse|Examinar…|Browse…
no_file|Ningún archivo seleccionado|No file selected
read_opts|Opciones de lectura (avanzado)|Reading options (advanced)
tree_format|Formato del árbol|Tree format
matrix_format|Formato de la matriz|Matrix format
auto|Automático|Automatic
auto_short|Auto|Auto
csv_sep|Separador CSV|CSV separator
species_col|Columna de especies|Species column
header|Encabezado del CSV|CSV header
yes|Sí|Yes
no|No|No
normalize_spaces|Reemplazar espacios por «_» en los nombres de especie|Replace spaces with “_” in species names
prune|Eliminar del árbol las terminales que no estén en la matriz|Drop tree tips that are not in the matrix
load|Cargar datos|Load data
clear|Limpiar|Clear
empty_title|Sin datos cargados|No data loaded
empty_body_1|Selecciona un árbol y una matriz de caracteres y pulsa |Select a tree and a character matrix and press
empty_body_2|. Después podrás revisar la calidad de la matriz y pasar a |. You can then review the quality of the matrix and move on to
load_example|Cargar datos de ejemplo (murciélagos)|Load example data (bats)
see_formats|Ver formatos admitidos|See supported formats
example_missing|No se encontraron los datos de ejemplo del paquete.|The package example data could not be found.
need_files|Selecciona un árbol y una matriz de caracteres y pulsa «Cargar datos».|Select a tree and a character matrix, then press “Load data”.
err_tree_title|No se pudo leer el árbol|The tree could not be read
err_matrix_title|No se pudo leer la matriz de caracteres|The character matrix could not be read
err_match_title|El árbol y la matriz no coinciden|The tree and the matrix do not match
err_match_body|%d terminal(es) del árbol no están en la matriz: %s. Corrige los nombres o activa «Eliminar del árbol las terminales que no estén en la matriz».|%d tree tip(s) are not in the matrix: %s. Fix the names or enable “Drop tree tips that are not in the matrix”.
err_match_few|%d terminal(es) del árbol no están en la matriz (%s): quedarían menos de 3 terminales. Revisa los nombres de especie o la columna de especies.|%d tree tip(s) are not in the matrix (%s): fewer than 3 tips would remain. Check the species names or the species column.
err_hint|Revisa el formato, el separador y el encabezado en «Opciones de lectura».|Check the format, separator and header under “Reading options”.
err_tree_ok|El árbol se leyó correctamente (%d terminales).|The tree was read correctly (%d tips).
open_opts|Abrir opciones de lectura|Open reading options
retry|Reintentar|Retry
vb_tips|Terminales|Tips
vb_lengths|con longitudes de rama|with branch lengths
vb_nolengths|sin longitudes de rama|without branch lengths
vb_chars|Caracteres|Characters
vb_missing|Faltantes (?)|Missing (?)
vb_inapp|Inaplicables (-)|Inapplicable (-)
kpi_binary|binarios (%d–%d)|binary (%d–%d)
kpi_multistate|binarios y multiestado (%d–%d)|binary and multistate (%d–%d)
kpi_states_max|hasta %d estados por carácter|up to %d states per character
n_cells|%d celdas|%d cells
n_rows|%d filas|%d rows
stats_title|Estadísticas por carácter|Per-character statistics
download_csv|Descargar CSV|Download CSV
col_character|Carácter|Character
col_states|Estados|States
col_scored|Codificados|Coded
col_missing|Faltantes (?)|Missing (?)
col_inapp|Inaplicables (-)|Inapplicable (-)
per_char|Por carácter|Per character
heatmap|Taxón × carácter|Taxon × character
sort_by|Ordenar por|Sort by
sort_none|Orden de la matriz|Matrix order
sort_missing|% faltantes|% missing
sort_inapp|% inaplicables|% inapplicable
sort_name|Nombre|Name
col_dist|Distribución|Distribution
col_taxon|Taxón|Taxon
matrix_tab|Matriz|Matrix
data_colors|Colores|Colors
reset_colors|Restablecer|Reset
borders|Bordes|Borders
cell_values|Estados en celdas|States in cells
mx_hint|Pasa el cursor sobre una celda para ver su taxón, carácter y estado.|Hover over a cell to see its taxon, character and state.
mx_trunc|Matriz muy grande: se muestran los primeros %d de %d caracteres. El mapa de calor y sus descargas incluyen todos.|Very large matrix: showing the first %d of %d characters. The heatmap and its downloads include all of them.
log_title|Mensajes de lectura|Reading messages
goto_map|Ir a Mapear caracteres →|Go to Map characters →

# ---- Log ----------------------------------------------------------------------
log_empty|Sin mensajes todavía.|No messages yet.
lvl_info|INFO|INFO
lvl_warn|AVISO|WARN
lvl_error|ERROR|ERROR
lvl_ok|OK|OK
n_warning|1 aviso|1 warning
n_warnings|%d avisos|%d warnings
log_aborted|Carga abortada. No se generaron estadísticas.|Loading aborted. No statistics were computed.
log_tree_read|Árbol leído: %s, %d terminales, sin longitudes de rama.|Tree read: %s, %d tips, no branch lengths.
log_tree_read_bl|Árbol leído: %s, %d terminales, con longitudes de rama.|Tree read: %s, %d tips, branch lengths present.
log_matrix_read|Matriz leída: %s (%s), %d filas × %d caracteres.|Matrix read: %s (%s), %d rows × %d characters.
log_rows_extra|%d fila(s) de la matriz no están en el árbol y se ignoran: %s|%d matrix row(s) are not in the tree and are ignored: %s
log_tips_missing|%d terminal(es) del árbol no están en la matriz: %s|%d tree tip(s) are not in the matrix: %s
log_pruned|Se eliminaron del árbol %d terminal(es) sin datos.|%d tip(s) without data were dropped from the tree.
log_poly|Polimorfismos detectados en %d carácter(es) (p. ej. %s en %s).|Polymorphisms detected in %d character(s) (e.g. %s in %s).
