Saccopteryx bilineata,1,1,-,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,1,1,2,1,0,-,1,-,0,2,0,0,1,-,-,0,1,-,-,0,0,1,0,?,?,?,?,?,0,0,1,0,1,1,0,0,?,0,0,0,0,0,2,1,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,6,0,0,0,1,0,0,0,0,0,2,0,-,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,0,0,0,1,0,0,0,?,0,?,?,?,?,?,?,?,?,?,?,1,0,0,0,0,1,0,0,0,0,0,1,1
Noctilio albiventris,0,0,2,0,1,0,1,1,0,0,1,1,1,0,0,1,2,1,1,1,0,1,0,0,0,1,2,0,0,0,0,1,2,2,-,1,1,-,-,1,0,1,1,0,0,2,1,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,2,0,1,0,0,0,0,1,0,3,0,-,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,?,1,0,2,0,1,1,1,0,1,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,?,0,1,0,1,1,0,1,0,0,?,0,0,0,2
Noctilio leporinus,0,0,2,0,1,0,1,1,0,0,1,1,1,0,0,1,2,1,1,1,0,1,0,0,0,1,2,0,0,0,0,1,2,1,-,1,1,-,-,1,0,1,1,0,0,2,1,0,1,0,1,1,0,1,2,0,0,1,1,3,1,0,1,0,0,0,2,0,0,0,?,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,2,0,1,0,0,0,0,1,0,3,0,-,0,1,0,0,0,0,1,0,1,0,0,1,0,2,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,?,1,0,2,0,1,1,1,0,1,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,?,?,?,?,?,?,?,0,?,0,1,0,1,1,0,1,0,0,?,0,0,0,2
Mystacina robusta,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,-,0,-,2,2,-,1,0,0,0,1,0,1,0,0,0,2,0,?,?,?,?,?,0,1,1,0,0,0,1,3,?,2,1,1,1,0,0,2,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,?,?,?,?,?,?,0,?,?,?,0,?,?,?,0,0,0,2,0,0,1,0,1,0,-,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,2,2,0,1,3,0,0,1,0,0,1,0,0,1,0,0,1,0,?,0,1,1,1,0,0,1,0,?,0,0,0,0,2,0,0,0,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,?,?,?,?,?
Mystacina tuberculata,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,-,0,-,2,2,-,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,2,1,0,0,0,2,0,0,0,2,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2,2,0,1,3,?,0,?,?,0,1,0,0,1,1,0,1,?,?,0,1,1,1,?,0,1,0,?,0,0,0,0,3,0,?,0,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1,?,?,?,?,?,?,?,?,?,?,?
Macrotus waterhousii,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,?,?,?,?,?,0,1,1,2,0,1,1,3,?,0,1,0,1,1,2,?,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,2,0,0,2,0,2,0,1,0,0,1,0,2,2,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,-,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,2,1,0,1,1,0,1,1,0,0,0,1,1,1,?,0,0,0,2,0,0,0,1,1,0,1,1,1,4,0,1,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,?,?,?,?,?,?,0,1,0,0
Macrotus californicus,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,2,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,0,1,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0,2,0,0,2,0,2,0,1,0,0,1,0,2,2,1,0,0,2,0,0,2,0,0,0,0,0,0,2,0,-,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,2,1,0,1,1,0,1,1,0,0,0,1,1,1,?,0,0,0,2,0,0,0,1,1,0,1,1,1,4,0,1,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,2,1,1,1,0,?,?,?,?,?
Artibeus jamaicensis,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,-,1,3,-,2,0,1,0,2,0,1,?,2,0,1,1,3,0,0,1,0,0,0,2,0,0,1,0,1,1,2,1,1,1,0,1,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,3,0,0,1,2,1,1,1,1,1,1,1,0,0,5,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,0,?,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,0,?,?,?,1,1,1,?,?,0,?,?,?,?,?,?,?,?,0,1,0,2,1,0,3,2,1,1,1,2,1,1,1,0
Pteronotus parnellii,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,1,0,1,1,1,0,2,1,1,1,1,2,0,1,0,0,0,1,2,1,1,0,0,1,0,0,1,1,0,0,2,0,2,1,0,0,1,2,1,1,1,0,1,1,0,0,0,1,1,0,0,2,0,1,0,1,0,1,3,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,2,0,3,2,0,0,1,1,2,0,2,0,0,1,1,1,0,2,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,2,0,1,1,1,0,1,2,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,2,0,1,3,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,2
Pteronotus pristinus,0,0,0,0,1,1,0,0,0,1,1,3,1,0,0,1,0,?,?,?,0,?,?,1,?,?,?,0,?,?,?,1,1,?,?,1,0,0,?,0,0,1,1,0,0,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
